"Longitude","Latitude","alt"
-87.253796,32.224783,54
-83.035222,40.135364,241
-88.499401,33.482316,66
-112.09887,34.230035,988
-87.0180417,35.6695247,188
-86.518198,36.589954,245
-84.67161,30.387945,27
-84.86585333,32.56522685,154
-96.494779,32.07507,148
-117.793975,34.101116,309
-118.979182,35.256692,102
-119.40322,35.55917,89
-119.49704,36.123151,68
-120.243921,37.221041,77
-121.022255,37.722175,31
-121.24064,38.203687,21
-113.52938,37.062871,811
-98.59487,38.853901,533
-98.187627,38.493199,544
-98.087387,37.974254,493
-97.281279,37.803326,430
-97.614886,38.630398,400
-96.863634,39.014661,383
-93.820249,38.395177,236
-93.41276,37.555369,352
-92.420787,37.13527,453
-91.324114,36.269959,162
-90.576364,35.678394,64
-81.6265525,39.0249441,260
-98.49152,40.78734,587
-85.243019,39.61004,339
-86.57307,38.780345,181
-87.153139,37.62723,118
-78.83826203,37.09258332,193
-80.9826394,34.30697686,177
-83.58021036,32.84851311,106
-87.607831,32.253898,57
-84.82486328,35.47021891,227
-83.93134286,35.07170978,525
-111.829516,33.488043,382
-111.829184,34.89795,1370
-101.446998,30.707242,685
-102.242925,30.990915,707
-102.873772,30.901998,898
-104.127639,30.3362,1476
-106.707024,32.336918,1322
-111.585258,32.733692,472
-119.621514,36.69363,106
-82.456096,38.33549,197
-78.520787,38.112641,168
-90.08337915,34.43792247,87
-86.932651,34.306403,250
-83.774627,36.072265,306
-82.678635,36.902334,531
-82.530223,40.35827,332
-94.762925,34.67088667,233
-95.41165333,35.69611667,189
-97.1107945,36.05801667,308
-96.482805,33.492273,230
-95.33799667,32.957825,143
-93.21068667,31.699395,85
-82.421847,34.868421,295
-80.005385,35.693922,182
-110.97971,31.85564,872
