Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_011_L	0.00104109023176386	0.0922558158662989	0.4931648380581	0.0168290794601522	0.00277207061344089	0.00457569614319449	4.11982463940997e-05	0.00619187206004959	7.30840554790863e-05	0.00134900763101104	0.000168992309066241	0.00536256897141089	0.0330255563945965
4_Transposome/JG_CO_011_M	0.000996069558783454	0.0931790524313156	0.505608488449526	0.0172261665294065	0.00278196949404863	0.00456966896298863	3.61729788915844e-05	0.00649431986004789	7.04466546781704e-05	0.00131971442071279	0.000173531847945431	0.00539292853920647	0.034920048587542
4_Transposome/JG_CO_011_P	0.00136842690022319	0.0936275259033563	0.507136288994689	0.016922400874354	0.00286767287013562	0.00466595349790529	4.17738151941102e-05	0.0066770875844535	9.45377620168986e-05	0.000880264029635716	0.000174877091371467	0.0052839403260477	0.0343655503483651
4_Transposome/JG_CO_028_C	0.00165286867871106	0.0937271790115873	0.51061628358528	0.0168575003166092	0.00279519123054328	0.00451298449666336	5.03776267797958e-05	0.00634349433917099	7.90894093195179e-05	0.00108184556553391	0.000169274249655715	0.00535318568686548	0.0342101229814351
4_Transposome/JG_CO_028_F	0.00158708827697693	0.0809250068076432	0.415313767150251	0.0192711254982833	0.00283070284609902	0.00450718122863702	6.04168958136853e-05	0.00527382753079597	0.000106451446605232	0.00113581206818512	0.000206858958815988	0.00545749814445402	0.0378039631495726
4_Transposome/JG_CO_045_A	0.00114189630573677	0.107691076551011	0.505298420205936	0.0145653703203598	0.00267398869048217	0.00442584615433457	4.10831234643022e-05	0.00635033644383284	0.000104390177991476	0.000776077545058426	0.000165829696742473	0.00499270175735413	0.0352434882607569
4_Transposome/JG_CO_045_C	0.00111300780272503	0.0844661780374682	0.465913738695915	0.0167196327219547	0.00266692411461317	0.0039658774155928	5.01103431853475e-05	0.00639082691945342	8.24690622339299e-05	0.00127342500791213	0.00014547330214909	0.00504777056533935	0.0329976468309984
4_Transposome/JG_CO_045_D	0.00108279952189276	0.0841329982967948	0.446005584495012	0.0176886362600186	0.00280141210220347	0.00433916093715349	6.52274455606364e-05	0.006228683600634	8.42765259241114e-05	0.00124613240340882	0.000188286160079147	0.00537344855472195	0.0322826203840072
4_Transposome/JG_CO_045_E	0.000912533152221056	0.112706280373619	0.51070089450742	0.0135596132641835	0.00244162613645671	0.0047642286588475	6.10105059706753e-05	0.00625523262380479	0.000100549267863491	0.00119863313990857	0.000163956320865752	0.00483311446751051	0.0376358899598589
4_Transposome/JG_CO_045_F	0.00080154299216677	0.101594710688283	0.48275948423502	0.014157127750517	0.00261239494589493	0.0042969444021019	6.461254002289e-05	0.00585054554481106	9.23298487420651e-05	0.00118798833439262	0.000155855967626158	0.00489795849779678	0.0354210445732216
4_Transposome/JG_CO_045_G	0.00108052438837677	0.0957385808272417	0.47047493315208	0.0152603708121236	0.00253471300607527	0.00420768529016513	5.20818995801644e-05	0.00593164005532312	8.7278733940517e-05	0.00135553869832048	0.000157859957387453	0.00496324059072952	0.0320402856241495
4_Transposome/JG_CO_045_H	0.0016849295023668	0.0872836999415269	0.471071892552058	0.0183232804015874	0.00269468323746071	0.00422227131927393	5.45367142883118e-05	0.00649856881870117	7.19240745965299e-05	0.00111648129783488	0.000165176231057468	0.00527790326550038	0.0309379109056422
4_Transposome/JG_CO_045_I	0.000959378099209034	0.0985016145606435	0.488148826401452	0.014461879216358	0.00263836653608625	0.00431762276370883	5.66405391300892e-05	0.00585746540069505	9.73119094838255e-05	0.00101585539139013	0.000152618902232495	0.00466389594464197	0.0371951122673547
4_Transposome/JG_CO_045_J	0.000925296983169407	0.0837339622681636	0.451749754170987	0.0172503542736357	0.00287378267262996	0.00400421026376543	6.96612624596438e-05	0.0058935162130832	0.000103771185127602	0.00139706757330341	0.000154107157143113	0.00520163411754366	0.0298176802625689
4_Transposome/JG_CO_045_K	0.00106491253819655	0.0990564382808527	0.473716767708614	0.0141801416294246	0.00247264618248815	0.00423947286977	5.06577451658547e-05	0.00573633715934754	9.93229195065544e-05	0.00128894272791091	0.000160509480363859	0.00466875493299361	0.0339750913431091
